customer_id,email,full_name,address,city,region,postal_code,country,phone,registration_date,channel_id,first_order_id,first_order_date,last_order_id,last_order_date
847,don.wilson@course.vertabelo.com,Don Wilson,275 Franklin Street,Dothan,Alabama,36303,USA,+1 334-677-3732,2024-05-09,1,,,,
14,yang.wang@course.vertabelo.com,Yang Wang,Hauptstr. 29,Bern,,3012,Switzerland,,2017-01-17,1,,,,
130,jason.kemp@course.vertabelo.com,Jason Kemp,1933 Everette Alley,Fort Lauderdale,Florida,33308,USA,+1 954-739-1284,2017-05-24,3,,,,
790,noel.pick@course.vertabelo.com,Noel Pick,384 Taylor Street,Scarsdale,New York,10583,USA,+1 914-724-4728,2024-03-08,1,,,,
68,michael.holz@course.vertabelo.com,Michael Holz,Grenzacherweg 237,Genève,,1203,Switzerland,,2017-03-17,1,128.0,2017-03-31,7872.0,2023-11-09
1,maria.anders@course.vertabelo.com,Maria Anders,Obere Str. 57,Berlin,,12209,Germany,030-0076545,2017-01-03,1,,,,
2,ana.trujillo@course.vertabelo.com,Ana Trujillo,Avda. de la Constitución 2222,México D.F.,,5021,Mexico,(5) 555-3745,2017-01-04,5,11.0,2017-01-14,10117.0,2024-04-01
3,antonio.moreno@course.vertabelo.com,Antonio Moreno,Mataderos 2312,México D.F.,,5023,Mexico,,2017-01-05,1,19.0,2017-01-24,10899.0,2024-06-12
4,thomas.hardy@course.vertabelo.com,Thomas Hardy,120 Hanover Sq.,London,,WA1 1DP,UK,(171) 555-6750,2017-01-06,1,,,,
5,christina.berglund@course.vertabelo.com,Christina Berglund,Berguvsvägen 8,Luleå,,S-958 22,Sweden,0921-12 34 67,2017-01-07,1,17.0,2017-01-17,9212.0,2024-01-26
6,hanna.moos@course.vertabelo.com,Hanna Moos,Forsterstr. 57,Mannheim,,68306,Germany,0621-08924,2017-01-08,3,6.0,2017-01-10,7815.0,2023-11-06
7,frederique.citeaux@course.vertabelo.com,Frédérique Citeaux,"24, place Kléber",Strasbourg,,67000,France,88.60.15.32,2017-01-03,2,2.0,2017-01-06,11461.0,2024-08-28
8,martin.sommer@course.vertabelo.com,Martín Sommer,"C/ Araquil, 67",Madrid,,28023,Spain,(91) 555 91 99,2017-01-10,2,12.0,2017-01-14,9037.0,2024-01-14
9,laurence.lebihan@course.vertabelo.com,Laurence Lebihan,"12, rue des Bouchers",Marseille,,13008,France,91.24.45.41,2017-01-11,1,,,,
10,elizabeth.lincoln@course.vertabelo.com,Elizabeth Lincoln,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,(604) 555-3745,2017-01-12,1,13.0,2017-01-14,10659.0,2024-05-16
11,victoria.ashworth@course.vertabelo.com,Victoria Ashworth,Fauntleroy Circus,London,,EC2 5NT,UK,,2016-12-19,1,1.0,2017-01-01,8912.0,2024-01-06
12,patricio.simpson@course.vertabelo.com,Patricio Simpson,Cerrito 333,Buenos Aires,,1010,Argentina,(1) 135-4892,2016-12-30,1,4.0,2017-01-07,7871.0,2023-11-09
13,francisco.chang@course.vertabelo.com,Francisco Chang,Sierras de Granada 9993,México D.F.,,5022,Mexico,(5) 555-7293,2017-01-16,1,20.0,2017-01-26,11554.0,2024-09-21
15,pedro.afonso@course.vertabelo.com,Pedro Afonso,"Av. dos Lusíadas, 23",Sao Paulo,SP,05432-043,Brazil,,2017-01-04,1,9.0,2017-01-11,7228.0,2018-12-11
16,elizabeth.brown@course.vertabelo.com,Elizabeth Brown,Berkeley Gardens 12 Brewery,London,,WX1 6LT,UK,(171) 555-9199,2017-01-19,1,18.0,2017-01-23,11560.0,2024-09-22
17,sven.ottlieb@course.vertabelo.com,Sven Ottlieb,Walserweg 21,Aachen,,52066,Germany,0241-059428,2016-12-23,2,3.0,2017-01-06,11594.0,2024-10-09
18,janine.labrune@course.vertabelo.com,Janine Labrune,"67, rue des Cinquante Otages",Nantes,,44000,France,40.67.89.89,2017-01-05,1,10.0,2017-01-13,10769.0,2024-05-29
19,ann.devon@course.vertabelo.com,Ann Devon,35 King George,London,,WX3 6FW,UK,(171) 555-3373,2017-01-22,1,,,,
20,roland.mendel@course.vertabelo.com,Roland Mendel,Kirchgasse 6,Graz,,8010,Austria,7675-3426,2017-01-23,1,21.0,2017-01-30,10633.0,2024-05-13
21,aria.cruz@course.vertabelo.com,Aria Cruz,"Rua Orós, 92",Sao Paulo,SP,05442-030,Brazil,,2017-01-08,1,15.0,2017-01-16,11595.0,2024-10-09
664,laura.ballard@course.vertabelo.com,Laura Ballard,1179 Cityview Drive,Wayne,Pennsylvania,19087,USA,+1 610-503-8324,2018-12-29,1,,,,
791,ricky.bosse@course.vertabelo.com,Ricky Bosse,759 Brannon Street,Los Angeles,California,90014,USA,+1 213-234-8211,2024-02-26,1,9761.0,2024-03-03,9761.0,2024-03-03
792,alexandra.stillings@course.vertabelo.com,Alexandra Stillings,1905 Quiet Valley Lane,North Hollywood,California,91605,USA,+1 818-982-0940,2024-03-10,1,,,,
793,howard.love@course.vertabelo.com,Howard Love,4059 Dennison Street,Stockton,California,95207,USA,+1 209-473-7877,2024-03-11,1,,,,
794,alyce.beasley@course.vertabelo.com,Alyce Beasley,4450 Morgan Street,Pensacola,Florida,32501,USA,+1 850-501-1019,2024-03-12,1,9914.0,2024-03-14,10678.0,2024-05-17
795,arthur.araujo@course.vertabelo.com,Arthur Araujo,289 Ridenour Street,Boca Raton,Florida,33486,USA,+1 786-215-2035,2024-03-13,1,,,,
796,austin.hussey@course.vertabelo.com,Austin Hussey,2574 Rowes Lane,Elizabethtown,Kentucky,42701,USA,+1 270-613-7026,2024-03-14,1,,,,
797,victor.davidson@course.vertabelo.com,Victor Davidson,4042 Par Drive,Bakersfield,California,93301,USA,+1 805-885-6133,2024-03-15,1,,,,
