customer_id,email,full_name,address,city,region,postal_code,country,phone,registration_date,channel_id,first_order_id,first_order_date,last_order_id,last_order_date
847,don.wilson@course.vertabelo.com,Don Wilson,275 Franklin Street,Dothan,Alabama,36303,USA,+1 334-677-3732,2024-05-09,1,null,null,null,null
14,yang.wang@course.vertabelo.com,Yang Wang,Hauptstr. 29,Bern,null,3012,Switzerland,null,2017-01-17,1,null,null,null,null
130,jason.kemp@course.vertabelo.com,Jason Kemp,1933 Everette Alley,Fort Lauderdale,Florida,33308,USA,+1 954-739-1284,2017-05-24,3,null,null,null,null
790,noel.pick@course.vertabelo.com,Noel Pick,384 Taylor Street,Scarsdale,New York,10583,USA,+1 914-724-4728,2024-03-08,1,null,null,null,null
68,michael.holz@course.vertabelo.com,Michael Holz,Grenzacherweg 237,Genève,null,1203,Switzerland,null,2017-03-17,1,128,2017-03-31,7872,2023-11-09
1,maria.anders@course.vertabelo.com,Maria Anders,Obere Str. 57,Berlin,null,12209,Germany,030-0076545,2017-01-03,1,null,null,null,null
2,ana.trujillo@course.vertabelo.com,Ana Trujillo,Avda. de la Constitución 2222,México D.F.,null,5021,Mexico,(5) 555-3745,2017-01-04,5,11,2017-01-14,10117,2024-04-01
3,antonio.moreno@course.vertabelo.com,Antonio Moreno,Mataderos 2312,México D.F.,null,5023,Mexico,null,2017-01-05,1,19,2017-01-24,10899,2024-06-12
4,thomas.hardy@course.vertabelo.com,Thomas Hardy,120 Hanover Sq.,London,null,WA1 1DP,UK,(171) 555-6750,2017-01-06,1,null,null,null,null
5,christina.berglund@course.vertabelo.com,Christina Berglund,Berguvsvägen 8,Luleå,null,S-958 22,Sweden,0921-12 34 67,2017-01-07,1,17,2017-01-17,9212,2024-01-26
6,hanna.moos@course.vertabelo.com,Hanna Moos,Forsterstr. 57,Mannheim,null,68306,Germany,0621-08924,2017-01-08,3,6,2017-01-10,7815,2023-11-06
7,frederique.citeaux@course.vertabelo.com,Frédérique Citeaux,"24, place Kléber",Strasbourg,null,67000,France,88.60.15.32,2017-01-03,2,2,2017-01-06,11461,2024-08-28
8,martin.sommer@course.vertabelo.com,Martín Sommer,"C/ Araquil, 67",Madrid,null,28023,Spain,(91) 555 91 99,2017-01-10,2,12,2017-01-14,9037,2024-01-14
9,laurence.lebihan@course.vertabelo.com,Laurence Lebihan,"12, rue des Bouchers",Marseille,null,13008,France,91.24.45.41,2017-01-11,1,null,null,null,null
10,elizabeth.lincoln@course.vertabelo.com,Elizabeth Lincoln,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,(604) 555-3745,2017-01-12,1,13,2017-01-14,10659,2024-05-16
